66.	2224	-321
2.5	2224	-323
1.6	2212	-311
8.8	2212	-313
0.5	2214	-311
0.5	2214	-313
0.5	3122	211
0.5	3122	213
0.5	3212	211
0.4	3212	213
0.4	3214	211
0.4	3214	213
0.4	3222	111
0.2	3222	221
0.2	3222	331
0.4	3222	113
0.4	3222	223
0.3	3224	111
0.2	3224	221
0.3	3224	113
0.3	3224	223
0.2	3322	321
0.2	3322	323
0.2	3324	321
0.1	2224	-211
0.1	2224	-213
0.2	2212	111
0.1	2212	221
0.1	2212	331
0.2	2212	113
0.2	2212	223
0.1	2212	333
0.1	2212	10221
0.1	2214	111
0.1	2214	221
0.1	2214	331
0.1	2214	113
0.1	2214	223
0.3	2112	211
0.3	2112	213
0.3	2114	211
0.3	2114	213
0.5	3122	321
0.5	3122	323
0.2	3212	321
0.2	3212	323
0.1	3214	321
0.1	3214	323
0.2	3222	311
0.2	3222	313
0.1	3224	311
0.1	3224	313
